year,"Boundary, border","Asylum, detainment, police","Immigrant life, education","Politics, party, candidates","Terrorist attacks, security","Europe, EU Politics, Jewish","NY, Central America, East Asia",India,"Business, union, outsourcing",Legality,"Social, health, tax policies","Middle East, taliban",Random,News source
1993,31.951219512195124,12.926829268292684,28.536585365853657,4.146341463414634,0.24390243902439024,0.24390243902439024,10.365853658536585,0.24390243902439024,0.24390243902439024,0.24390243902439024,10.121951219512194,0.24390243902439024,0.24390243902439024,0.24390243902439024
1994,0.25510204081632654,20.025510204081634,34.43877551020408,39.285714285714285,0.25510204081632654,0.25510204081632654,0.25510204081632654,0.25510204081632654,3.6989795918367347,0.25510204081632654,0.25510204081632654,0.25510204081632654,0.25510204081632654,0.25510204081632654
1995,0.7722007722007722,4.633204633204633,40.54054054054054,36.293436293436294,0.7722007722007722,0.7722007722007722,0.7722007722007722,0.7722007722007722,6.563706563706564,5.019305019305019,0.7722007722007722,0.7722007722007722,0.7722007722007722,0.7722007722007722
1996,0.7751937984496124,0.7751937984496124,44.96124031007752,14.34108527131783,19.767441860465116,6.976744186046512,0.7751937984496124,0.7751937984496124,6.976744186046512,0.7751937984496124,0.7751937984496124,0.7751937984496124,0.7751937984496124,0.7751937984496124
1997,0.373134328358209,0.373134328358209,42.91044776119403,18.470149253731343,24.62686567164179,0.373134328358209,0.373134328358209,0.373134328358209,0.373134328358209,10.261194029850746,0.373134328358209,0.373134328358209,0.373134328358209,0.373134328358209
1998,0.2936857562408223,14.831130690161528,33.627019089574155,21.73274596182085,3.671071953010279,0.2936857562408223,13.80323054331865,0.2936857562408223,9.985315712187958,0.2936857562408223,0.2936857562408223,0.2936857562408223,0.2936857562408223,0.2936857562408223
1999,0.24271844660194175,18.203883495145632,42.35436893203884,34.34466019417476,0.24271844660194175,0.24271844660194175,2.6699029126213594,0.24271844660194175,0.24271844660194175,0.24271844660194175,0.24271844660194175,0.24271844660194175,0.24271844660194175,0.24271844660194175
2000,0.7782101167315175,0.7782101167315175,52.91828793774319,11.284046692607005,10.894941634241246,9.33852140077821,8.560311284046692,0.7782101167315175,0.7782101167315175,0.7782101167315175,0.7782101167315175,0.7782101167315175,0.7782101167315175,0.7782101167315175
2001,10.954063604240282,16.607773851590107,32.15547703180212,8.8339222614841,7.067137809187279,0.7067137809187279,8.480565371024735,0.7067137809187279,0.7067137809187279,0.7067137809187279,0.7067137809187279,10.954063604240282,0.7067137809187279,0.7067137809187279
2002,0.7843137254901961,25.88235294117647,25.49019607843137,16.862745098039216,12.941176470588236,0.7843137254901961,11.764705882352942,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961
